Material Novo;Material antigo;Texto breve material;Centro;Depósito;Lote;Quantidade;Valor Unitário;Valor Total;Unidade
50082947;20002994;"CALCA JEANS;FEM;AZ;NUM 48;13OZ";BRD3;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Suzano
50082948;20002995;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº36;BRCS;MR01;O.PURCHASE;3,000;R$ 59,02;R$ 177,06;Embu (SUL)
50082948;20002995;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº36;BRCV;MR01;O.PURCHASE;9,000;R$ 63,67;R$ 573,07;Jundiai (SALTO)
50082949;20002996;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº38;BRCM;MR01;O.PURCHASE;5,000;R$ 81,10;R$ 405,51;Araçatuba
50082949;20002996;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº38;BRCS;MR01;O.PURCHASE;2,000;R$ 50,83;R$ 101,65;Embu (SUL)
50082949;20002996;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº38;BRCV;MR01;O.PURCHASE;5,000;R$ 130,04;R$ 650,21;Jundiai (SALTO)
50082949;20002996;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº38;BRCX;MR01;O.PURCHASE;8,000;R$ 49,62;R$ 396,99;Mauá
50082949;20002996;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº38;BRD5;MR01;O.PURCHASE;1,000;R$ 82,98;R$ 82,98;Taubaté
50082950;20002997;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº40;BRCM;MR01;O.PURCHASE;2,000;R$ 90,33;R$ 180,65;Araçatuba
50082950;20002997;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº40;BRCS;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Embu (SUL)
50082950;20002997;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº40;BRCV;MR01;O.PURCHASE;3,000;R$ 51,49;R$ 154,48;Jundiai (SALTO)
50082950;20002997;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº40;BRCX;MR01;O.PURCHASE;15,000;R$ 50,18;R$ 752,75;Mauá
50082950;20002997;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº40;BRD7;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Litoral - Praia Grande
50082951;20002998;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº44;BRCM;MR01;O.PURCHASE;5,000;R$ 77,92;R$ 389,60;Araçatuba
50082951;20002998;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº44;BRCN;MR01;O.PURCHASE;6,000;R$ 68,08;R$ 408,45;Araraquara
50082951;20002998;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº44;BRCX;MR01;O.PURCHASE;2,000;R$ 49,62;R$ 99,24;Mauá
50082951;20002998;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº44;BRD3;MR01;O.PURCHASE;3,000;R$ 55,43;R$ 166,29;Suzano
50082952;20002999;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº46;BRCM;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Araçatuba
50082952;20002999;CALÇA VENDEDOR FEM C/ REFORÇO-TAM. Nº46;BRCN;MR01;O.PURCHASE;3,000;R$ 1.172,15;R$ 3.516,46;Araraquara
